,price,neighbourhood_cleansed,latitude,longitude,room_type,bedrooms,bathrooms_number,accommodates,host_is_superhost,host_listings_count,host_response_rate,review_scores_rating,review_scores_cleanliness,number_of_reviews,reviews_per_month,minimum_nights,availability_365,instant_bookable,Shared_bath_status,host_tenure_years,amenities_count,region_geo,region_median_price,above_local_median
154,,Frankfurter Allee Nord,52.51586,13.46388,Private room,,1.0,1,True,1.0,100%,4.91,4.84,107,0.71,3,2,False,True,13.0,40.0,Frankfurter Allee Nord,104.5,False
155,,Prenzlauer Berg Ost,52.53645,13.44103,Entire home/apt,1.0,1.0,2,False,3.0,,4.67,4.84,34,0.21,180,0,False,False,13.0,8.0,Prenzlauer Berg Ost,116.0,False
156,172.0,Regierungsviertel,52.51133,13.3951,Entire home/apt,1.0,1.0,2,False,3.0,100%,4.94,4.88,16,0.1,4,76,False,False,13.0,36.0,Regierungsviertel,159.0,True
157,100.0,Prenzlauer Berg Südwest,52.53916,13.41008,Entire home/apt,2.0,1.0,6,True,1.0,,4.85,4.92,410,2.57,2,0,False,False,13.0,41.0,Prenzlauer Berg Südwest,144.0,False
158,49.0,Brunnenstr. Nord,52.54167,13.37285,Entire home/apt,1.0,1.0,2,False,1.0,,4.55,4.5,11,0.08,187,276,False,False,13.0,26.0,Brunnenstraße Nord,150.0,False
159,85.0,Zehlendorf  Südwest,52.43663,13.21023,Entire home/apt,1.0,1.0,2,True,1.0,,4.76,4.86,21,0.17,4,300,False,False,13.0,48.0,Zehlendorf Südwest,102.0,False
160,105.0,Brunnenstr. Süd,52.52971,13.38907,Entire home/apt,1.0,1.0,4,True,2.0,100%,4.85,4.9,430,3.97,4,221,True,False,13.0,28.0,Brunnenstraße Süd,145.5,False
161,115.0,Brunnenstr. Süd,52.52961,13.38904,Entire home/apt,1.0,1.0,5,True,2.0,100%,4.84,4.85,323,1.98,7,171,False,False,13.0,28.0,Brunnenstraße Süd,145.5,False
162,,südliche Luisenstadt,52.49889,13.43425,Entire home/apt,2.0,1.0,4,False,1.0,,4.58,4.64,33,1.39,2,0,False,False,13.0,20.0,Südliche Luisenstadt,101.0,False
163,,Prenzlauer Berg Süd,52.53606,13.42828,Entire home/apt,1.0,1.0,2,False,3.0,,4.72,4.74,19,0.13,180,0,False,False,13.0,9.0,Prenzlauer Berg Süd,125.0,False
164,65.0,Helmholtzplatz,52.54116,13.41449,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.91,4.94,293,1.92,3,21,False,False,13.0,25.0,Helmholtzplatz,119.0,False
165,,Tempelhofer Vorstadt,52.48845,13.39543,Private room,2.0,1.0,2,False,1.0,,5.0,4.5,2,0.02,92,0,False,True,14.0,4.0,Tempelhofer Vorstadt,97.5,False
166,95.0,Tempelhofer Vorstadt,52.49257,13.41091,Entire home/apt,1.0,1.0,4,True,1.0,100%,4.91,4.87,596,3.73,2,209,False,False,13.0,46.0,Tempelhofer Vorstadt,97.5,False
167,,Tempelhofer Vorstadt,52.48946,13.37568,Private room,,1.0,2,False,1.0,,4.94,5.0,31,0.19,92,0,False,True,13.0,41.0,Tempelhofer Vorstadt,97.5,False
168,101.0,Schillerpromenade,52.47919,13.42538,Entire home/apt,1.0,1.0,4,False,1.0,100%,4.77,4.73,235,1.46,3,307,True,False,13.0,19.0,Schillerpromenade,98.5,True
169,125.0,Alexanderplatz,52.5151,13.41369,Entire home/apt,1.0,1.0,2,False,2.0,,4.81,4.96,292,2.43,92,365,False,False,13.0,36.0,Alexanderplatz,142.0,False
170,,Brunnenstr. Süd,52.53593,13.38122,Entire home/apt,3.0,1.0,5,False,1.0,100%,4.57,4.43,7,0.52,6,0,False,False,13.0,16.0,Brunnenstraße Süd,145.5,False
171,65.0,Brunnenstr. Süd,52.53609819909791,13.37822039816644,Entire home/apt,0.0,1.0,2,True,2.0,100%,4.75,4.86,372,2.33,92,278,False,False,14.0,31.0,Brunnenstraße Süd,145.5,False
172,65.0,Brunnenstr. Süd,52.53608,13.37843,Entire home/apt,1.0,1.0,2,True,2.0,100%,4.83,4.86,343,2.16,92,297,False,False,14.0,35.0,Brunnenstraße Süd,145.5,False
173,86.0,Brunnenstr. Süd,52.53325,13.40217,Entire home/apt,1.0,1.0,4,False,2.0,,5.0,5.0,6,0.04,92,0,False,False,13.0,29.0,Brunnenstraße Süd,145.5,False
174,373.0,Helmholtzplatz,52.54407,13.42201,Entire home/apt,4.0,2.0,12,True,3.0,100%,4.93,4.9,382,2.36,3,309,False,False,14.0,30.0,Helmholtzplatz,119.0,True
175,259.0,Schöneberg-Süd,52.48916,13.35058,Entire home/apt,2.0,2.5,4,False,2.0,100%,4.96,4.89,96,0.6,4,332,False,False,13.0,40.0,Schöneberg Südost,103.0,True
176,84.0,Tempelhof,52.4568,13.38698,Entire home/apt,1.0,,4,True,1.0,100%,4.69,4.83,327,2.36,3,41,False,False,13.0,26.0,Tempelhof Nord,101.5,False
177,,Prenzlauer Berg Nordwest,52.54797,13.40576,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.44,4.48,51,0.32,90,0,False,False,13.0,16.0,Prenzlauer Berg Nordwest,97.0,False
178,211.0,Rahnsdorf/Hessenwinkel,52.43286,13.70843,Entire home/apt,1.0,1.0,4,False,1.0,,4.95,4.75,20,0.19,3,321,True,False,13.0,13.0,Rahnsdorf,100.0,True
179,89.0,Schöneberg-Süd,52.48207,13.36099,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.87,4.77,495,3.1,2,310,False,False,13.0,28.0,Schöneberg Südost,103.0,False
180,136.0,Alexanderplatz,52.50561957139374,13.42042823702963,Entire home/apt,0.0,1.0,2,True,1.0,100%,4.91,4.93,159,1.0,3,234,False,False,13.0,27.0,Alexanderplatz,142.0,False
181,87.0,Prenzlauer Berg Nordwest,52.5475,13.40002,Entire home/apt,1.0,1.0,4,False,1.0,90%,4.72,4.86,409,2.55,2,195,False,False,13.0,21.0,Prenzlauer Berg Nordwest,97.0,False
182,51.0,Schöneberg-Nord,52.49081,13.34785,Private room,1.0,1.0,2,False,1.0,100%,4.87,4.8,55,0.34,3,38,False,True,14.0,7.0,Schöneberg Nordost,85.0,False
183,,Neue Kantstraße,52.50585,13.29594,Entire home/apt,1.0,1.0,1,True,5.0,88%,5.0,4.75,4,0.03,92,83,False,False,13.0,48.0,Altstadt Köpenick,113.0,False
184,,Moabit West,52.52358,13.34047,Private room,,1.0,2,False,2.0,,4.73,4.68,22,0.19,3,0,False,True,13.0,22.0,Moabit West,92.0,False
185,,Schillerpromenade,52.46689,13.42325,Entire home/apt,2.0,1.5,4,False,1.0,,4.94,4.88,17,0.11,92,0,False,False,13.0,8.0,Schillerpromenade,98.5,False
186,31.0,Schöneberg-Nord,52.49751663208008,13.349440574645996,Entire home/apt,0.0,1.0,2,False,1.0,100%,4.51,4.68,83,0.53,124,84,False,False,13.0,36.0,Schöneberg Nordost,85.0,False
187,77.0,Tempelhof,52.45767,13.37887,Entire home/apt,1.0,1.0,2,True,1.0,100%,4.75,4.65,35,0.22,90,313,False,False,13.0,53.0,Tempelhof Nord,101.5,False
188,60.0,Rudow,52.41305,13.47963,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.52,4.72,80,0.57,5,314,False,False,13.0,39.0,Rudow,72.0,False
189,,Prenzlauer Berg Nordwest,52.55438,13.40816,Private room,,1.0,1,False,1.0,,4.78,4.2,25,0.16,1000,365,False,False,13.0,7.0,Prenzlauer Berg Nordwest,97.0,False
190,198.0,Prenzlauer Berg Süd,52.53229904174805,13.426223754882812,Entire home/apt,3.0,1.0,5,True,2.0,100%,4.89,4.66,108,0.68,5,34,False,False,14.0,64.0,Prenzlauer Berg Süd,125.0,True
191,37.0,Rixdorf,52.48623,13.44967,Entire home/apt,1.0,1.0,2,False,1.0,,4.74,4.77,97,0.61,93,31,True,False,14.0,26.0,Rixdorf,88.5,False
192,65.0,Rudow,52.41335,13.47975,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.63,4.8,70,0.52,5,322,False,False,13.0,37.0,Rudow,72.0,False
193,112.0,Halensee,52.49739,13.30231,Entire home/apt,3.0,1.0,6,True,3.0,100%,4.63,4.61,131,1.14,7,51,False,False,13.0,29.0,Halensee,84.0,True
194,29.0,Ost 2,52.57379,13.35485,Private room,1.0,1.0,1,False,3.0,100%,4.67,4.85,36,0.23,93,119,False,True,13.0,30.0,Ost 2 - Alt-Reinickendorf,52.0,False
195,135.0,südliche Luisenstadt,52.49615,13.43335,Entire home/apt,1.0,1.0,2,False,1.0,100%,4.85,4.75,61,0.38,30,325,False,False,13.0,23.0,Südliche Luisenstadt,101.0,True
196,,Parkviertel,52.5461,13.35043,Entire home/apt,2.0,1.0,4,False,1.0,,5.0,4.88,8,0.05,8,0,False,False,14.0,13.0,Parkviertel,72.0,False
197,124.0,Frankfurter Allee Nord,52.52302,13.45452,Entire home/apt,3.0,1.0,6,True,1.0,,4.73,4.63,115,0.72,4,65,False,False,13.0,40.0,Frankfurter Allee Nord,104.5,True
198,,Frankfurter Allee Süd FK,52.50091,13.4641,Private room,1.0,1.0,2,True,2.0,100%,4.89,4.8,108,0.68,1,0,False,True,13.0,18.0,Frankfurter Allee Süd FK,108.0,False
199,77.0,Neue Kantstraße,52.50081,13.30127,Entire home/apt,1.0,1.0,4,False,1.0,0%,4.76,4.92,128,0.81,92,146,False,False,13.0,11.0,Altstadt Köpenick,113.0,False
200,,Ost 2,52.57196,13.35589,Private room,,1.0,2,False,3.0,100%,4.68,4.76,19,0.13,120,0,False,True,13.0,28.0,Ost 2 - Alt-Reinickendorf,52.0,False
201,49.0,südliche Luisenstadt,52.49765119267812,13.428157359714586,Private room,1.0,1.5,1,True,1.0,100%,4.72,4.81,70,0.44,10,83,False,True,13.0,34.0,Südliche Luisenstadt,101.0,False
202,101.0,Alexanderplatz,52.52819,13.39641,Entire home/apt,1.0,1.0,3,True,2.0,100%,4.91,4.81,164,1.03,2,13,False,False,13.0,47.0,Alexanderplatz,142.0,False
203,,Prenzlauer Berg Nordwest,52.55167,13.40318,Entire home/apt,1.0,1.0,3,False,1.0,,5.0,4.75,4,0.03,92,0,False,False,13.0,4.0,Prenzlauer Berg Nordwest,97.0,False
204,,Reuterstraße,52.49065728348974,13.435687320686636,Entire home/apt,1.0,1.0,4,False,1.0,100%,4.74,4.47,95,0.6,4,0,False,False,13.0,59.0,Reuterstraße,90.0,False
205,51.0,Schöneberg-Süd,52.48512,13.3558,Entire home/apt,1.0,1.0,3,False,2.0,,4.67,4.54,39,0.27,183,147,False,False,13.0,20.0,Schöneberg Südost,103.0,False
206,,Reuterstraße,52.48254,13.43939,Private room,,1.0,2,False,1.0,,4.8,4.8,5,0.04,92,0,False,False,13.0,6.0,Reuterstraße,90.0,False
207,83.0,Volkspark Wilmersdorf,52.48955,13.32265,Private room,1.0,1.0,1,True,1.0,100%,4.77,4.92,242,1.81,1,87,True,True,13.0,35.0,Volkspark Wilmersdorf,89.0,False
208,70.0,südliche Luisenstadt,52.49318,13.43811,Entire home/apt,1.0,1.0,2,False,2.0,100%,4.83,4.75,172,1.28,3,31,False,False,14.0,30.0,Südliche Luisenstadt,101.0,False
209,57.0,Moabit Ost,52.53088,13.35107,Entire home/apt,1.0,1.0,2,False,5.0,100%,4.57,4.5,149,1.11,5,208,False,False,13.0,34.0,Moabit Ost,87.0,False
210,,Schönholz/Wilhelmsruh/Rosenthal,52.59767,13.37674,Entire home/apt,1.0,1.5,2,False,1.0,,,,0,,92,0,False,False,13.0,9.0,Schönholz/Wilhelmsruh/Rosenthal,105.0,False
211,,Tempelhofer Vorstadt,52.48875,13.3952,Entire home/apt,2.0,1.0,4,False,1.0,,5.0,5.0,23,0.17,92,0,False,False,13.0,10.0,Tempelhofer Vorstadt,97.5,False
